iter	Passed	Remaining
581	37670	27055
582	37722	26981
583	37779	26911
584	37847	26848
585	37906	26780
586	37959	26707
587	38017	26638
588	38074	26568
589	38128	26495
590	38186	26426
591	38243	26357
592	38300	26287
593	38354	26215
594	38410	26144
595	38478	26082
596	38533	26011
597	38589	25941
598	38656	25878
599	38727	25818
600	38789	25752
601	38845	25681
602	38902	25612
603	38963	25545
604	39021	25476
605	39077	25406
606	39132	25335
607	39191	25268
608	39256	25204
609	39318	25138
610	39377	25069
611	39438	25003
612	39496	24935
613	39548	24862
614	39604	24793
615	39662	24724
616	39721	24656
617	39776	24586
618	39831	24516
619	39889	24448
620	39949	24381
621	40002	24310
622	40057	24240
623	40123	24176
624	40184	24110
625	40253	24049
626	40308	23979
627	40379	23918
628	40425	23844
629	40476	23772
630	40529	23701
631	40591	23635
632	40662	23575
633	40725	23510
634	40780	23440
635	40847	23378
636	40913	23314
637	40978	23250
638	41033	23181
639	41095	23116
640	41155	23049
641	41221	22986
642	41276	22916
643	41336	22850
644	41401	22786
645	41471	22725
646	41539	22663
647	41613	22604
648	41689	22547
649	41744	22478
650	41806	22412
651	41862	22343
652	41919	22275
653	41986	22212
654	42048	22147
655	42106	22080
656	42164	22012
657	42221	21945
658	42285	21880
659	42343	21813
660	42396	21743
661	42460	21679
662	42528	21616
663	42608	21561
664	42698	21509
665	42764	21446
666	42820	21378
667	42879	21311
668	42940	21245
669	42999	21178
670	43053	21109
671	43103	21038
672	43159	20970
673	43217	20903
674	43282	20839
675	43346	20775
676	43404	20708
677	43461	20640
678	43515	20571
679	43570	20503
680	43626	20436
681	43692	20372
682	43755	20308
683	43815	20242
684	43920	20196
685	43976	20129
686	44033	20062
687	44098	19998
688	44179	19941
689	44234	19873
690	44286	19803
691	44340	19735
692	44392	19666
693	44557	19646
694	44624	19583
695	44687	19518
696	44750	19453
697	44802	19384
698	44868	19321
699	44927	19254
700	44982	19186
701	45036	19118
702	45092	19050
703	45153	18984
704	45203	18915
705	45265	18850
706	45326	18784
707	45392	18721
708	45451	18655
709	45513	18590
710	45573	18524
711	45629	18456
712	45685	18389
713	45738	18320
714	45807	18258
715	45871	18194
716	45924	18126
717	45977	18058
718	46040	17993
719	46107	17930
720	46166	17864
721	46231	17801
722	46300	17738
723	46359	17672
724	46416	17606
725	46471	17538
726	46531	17473
727	46589	17407
728	46645	17340
729	46704	17274
730	46777	17213
731	46839	17148
732	46893	17081
733	46948	17013
734	47016	16951
735	47070	16884
736	47129	16818
737	47183	16750
738	47245	16685
739	47303	16620
740	47360	16553
741	47414	16486
742	47479	16423
743	47540	16358
744	47593	16290
745	47649	16223
746	47708	16158
747	47769	16093
748	47845	16033
749	47898	15966
750	47957	15900
751	48013	15834
752	48066	15766
753	48117	15698
754	48173	15632
755	48231	15566
756	48289	15501
757	48345	15434
758	48406	15370
759	48463	15304
760	48522	15239
761	48577	15172
762	48631	15105
763	48687	15039
764	48743	14973
765	48799	14907
766	48858	14842
767	48913	14775
768	48968	14709
769	49029	14645
770	49088	14580
771	49155	14517
772	49215	14452
773	49274	14387
774	49339	14324
775	49397	14258
776	49452	14192
777	49511	14127
778	49571	14063
779	49629	13998
780	49686	13932
781	49742	13866
782	49805	13803
783	49863	13738
784	49921	13672
785	49975	13606
786	50039	13543
787	50103	13479
788	50165	13415
789	50227	13351
790	50287	13287
791	50351	13223
792	50408	13158
793	50465	13092
794	50533	13030
795	50591	12965
796	50653	12901
797	50716	12838
798	50784	12775
799	50838	12709
800	50898	12645
801	50948	12578
802	51011	12514
803	51070	12450
804	51125	12384
805	51180	12318
806	51244	12255
807	51305	12191
808	51364	12126
809	51417	12060
810	51474	11995
811	51537	11932
812	51597	11867
813	51660	11804
814	51726	11741
815	51783	11676
816	51849	11613
817	51907	11549
818	51975	11486
819	52038	11423
820	52101	11359
821	52153	11293
822	52211	11229
823	52273	11165
824	52329	11100
825	52388	11035
826	52449	10971
827	52501	10906
828	52554	10840
829	52610	10775
830	52670	10711
831	52732	10647
832	52789	10583
833	52845	10518
834	52901	10453
835	52956	10388
836	53021	10325
837	53077	10260
838	53135	10196
839	53189	10131
840	53243	10066
841	53299	10001
842	53359	9937
843	53448	9879
844	53503	9814
845	53561	9750
846	53630	9687
847	53684	9622
848	53739	9557
849	53797	9493
850	53860	9430
851	53916	9365
852	53975	9301
853	54036	9238
854	54095	9174
855	54148	9109
856	54205	9044
857	54272	8982
858	54332	8918
859	54387	8853
860	54442	8789
861	54506	8726
862	54566	8662
863	54619	8597
864	54678	8533
865	54739	8470
866	54798	8406
867	54855	8342
868	54913	8278
869	54979	8215
870	55035	8151
871	55096	8087
872	55152	8023
873	55210	7959
874	55280	7897
875	55445	7848
876	55509	7785
877	55566	7721
878	55626	7657
879	55700	7595
880	55754	7531
881	55807	7466
882	55862	7401
883	55917	7337
884	55981	7274
885	56032	7209
886	56086	7145
887	56149	7081
888	56219	7019
889	56273	6955
890	56335	6891
891	56397	6828
892	56453	6764
893	56509	6700
894	56561	6635
895	56635	6573
896	56694	6510
897	56746	6445
898	56806	6382
899	56866	6318
900	56928	6255
901	56987	6191
902	57046	6127
903	57113	6065
904	57170	6001
905	57226	5937
906	57285	5873
907	57342	5810
908	57398	5746
909	57452	5682
910	57509	5618
911	57577	5555
912	57638	5492
913	57695	5428
914	57759	5365
915	57820	5302
916	57882	5239
917	57938	5175
918	57999	5112
919	58068	5049
920	58134	4986
921	58193	4923
922	58253	4859
923	58331	4797
924	58394	4734
925	58453	4671
926	58509	4607
927	58566	4543
928	58621	4480
929	58678	4416
930	58735	4353
931	58789	4289
932	58846	4225
933	58902	4162
934	58952	4098
935	59006	4034
936	59068	3971
937	59123	3907
938	59187	3844
939	59255	3782
940	59311	3718
941	59366	3655
942	59423	3591
943	59480	3528
944	59537	3465
945	59592	3401
946	59646	3338
947	59700	3274
948	59762	3211
949	59818	3148
950	59874	3085
951	59938	3022
952	59996	2958
953	60057	2895
954	60116	2832
955	60180	2769
956	60236	2706
957	60291	2643
958	60347	2580
959	60407	2516
960	60476	2454
961	60534	2391
962	60588	2327
963	60653	2265
964	60712	2201
965	60770	2138
966	60822	2075
967	60886	2012
968	60954	1950
969	61009	1886
970	61074	1824
971	61134	1761
972	61192	1698
973	61247	1634
974	61300	1571
975	61368	1509
976	61431	1446
977	61498	1383
978	61577	1320
979	61651	1258
980	61706	1195
981	61754	1131
982	61848	1069
983	61907	1006
984	61963	943
985	62018	880
986	62081	817
987	62151	754
988	62210	691
989	62265	628
990	62325	566
991	62382	503
992	62437	440
993	62491	377
994	62554	314
995	62616	251
996	62679	188
997	62739	125
998	62799	62
999	62857	0
